DataConsumo,Filial,Cliente,TipoEstabelecimento,Estado,Produto,Fornecedor,Volumes,Quantidade
2024-10-09,7.0,170110,42,41.0,423.0,80047,0.0,2.0
2024-10-08,4.0,42297,72,41.0,423.0,80047,0.083,1.0
2024-10-12,4.0,138264,72,41.0,423.0,80047,0.083,1.0
2024-10-02,6.0,176190,36,42.0,423.0,80047,0.5,6.0
2024-10-11,6.0,167816,33,42.0,423.0,80047,0.083,1.0
2024-10-07,4.0,169674,21,41.0,683.0,80047,0.166,2.0
2024-10-10,4.0,179732,41,41.0,693.0,80047,0.25,3.0
2024-10-04,4.0,103368,36,41.0,693.0,80047,0.0,12.0
2024-10-08,5.0,163376,39,41.0,693.0,80047,0.166,2.0
2024-10-07,5.0,158396,34,41.0,693.0,80047,0.166,2.0
2024-10-14,5.0,140633,41,41.0,693.0,80047,0.5,6.0
2024-10-15,5.0,175365,36,41.0,693.0,80047,1.0,12.0
2024-10-16,5.0,165716,93,41.0,693.0,80047,0.166,2.0
2024-10-02,6.0,174393,39,42.0,693.0,80047,1.0,12.0
2024-10-08,4.0,120952,41,41.0,816.0,80047,0.166,1.0
2024-10-08,4.0,121861,41,41.0,816.0,80047,0.166,1.0
2024-10-08,4.0,123050,42,41.0,816.0,80047,0.166,1.0
2024-10-08,4.0,105615,41,41.0,816.0,80047,0.166,1.0
2024-10-09,4.0,108951,41,41.0,816.0,80047,0.166,1.0
2024-10-10,4.0,110124,41,41.0,816.0,80047,0.166,1.0
2024-10-10,6.0,164961,33,42.0,816.0,80047,0.166,1.0
2024-10-10,6.0,165057,24,42.0,816.0,80047,0.166,1.0
2024-10-11,6.0,160151,24,42.0,816.0,80047,0.166,1.0
2024-10-08,5.0,173611,84,41.0,816.0,80047,0.166,1.0
2024-10-02,7.0,150169,83,41.0,1522.0,80047,0.333,2.0
2024-10-17,7.0,175183,42,41.0,1522.0,80047,0.166,1.0
2024-10-16,4.0,110359,53,41.0,2503.0,80047,2.0,12.0
2024-10-10,6.0,166075,34,42.0,2805.0,80047,0.083,1.0
2024-10-07,4.0,4711,41,41.0,2805.0,80047,0.083,1.0
2024-10-07,4.0,32412,41,41.0,2805.0,80047,0.083,1.0
2024-10-05,4.0,3844,41,41.0,2805.0,80047,0.083,1.0
2024-10-15,5.0,175365,36,41.0,3426.0,80047,0.5,6.0
2024-10-02,5.0,163008,34,41.0,4339.0,80047,0.333,2.0
2024-10-18,7.0,177012,41,41.0,9636.0,80047,0.083,1.0
2024-10-01,3.0,116668,39,41.0,9636.0,80047,0.25,3.0
2024-10-08,5.0,168680,34,41.0,9636.0,80047,0.083,1.0
2024-10-08,5.0,141644,41,41.0,9636.0,80047,0.083,1.0
2024-10-09,5.0,178609,39,41.0,9636.0,80047,0.166,2.0
2024-10-02,3.0,157805,42,41.0,9636.0,80047,0.083,1.0
2024-10-03,3.0,172303,24,41.0,9636.0,80047,0.166,2.0
2024-10-04,5.0,172169,39,41.0,9636.0,80047,0.5,6.0
2024-10-07,5.0,126768,41,41.0,9636.0,80047,0.083,1.0
2024-10-14,3.0,124026,42,41.0,9636.0,80047,0.5,6.0
2024-10-15,3.0,121282,24,41.0,9636.0,80047,0.083,1.0
2024-10-16,3.0,175832,84,41.0,9636.0,80047,0.083,1.0
2024-10-16,3.0,165070,42,41.0,9636.0,80047,0.083,1.0
2024-10-16,5.0,146065,34,41.0,9636.0,80047,0.166,2.0
2024-10-17,3.0,162006,93,41.0,9636.0,80047,0.083,1.0
2024-10-07,4.0,7336,71,41.0,9636.0,80047,0.083,1.0
2024-10-08,4.0,172916,41,41.0,9636.0,80047,0.166,2.0
2024-10-08,4.0,110744,41,41.0,9636.0,80047,0.083,1.0
2024-10-09,4.0,179700,41,41.0,9636.0,80047,0.166,2.0
2024-10-11,4.0,160087,34,41.0,9636.0,80047,0.25,3.0
2024-10-14,4.0,130027,34,41.0,9636.0,80047,1.0,12.0
2024-10-02,4.0,162842,93,41.0,9636.0,80047,0.166,2.0
2024-10-03,4.0,159647,72,41.0,9636.0,80047,0.166,2.0
2024-10-04,4.0,9278,41,41.0,9636.0,80047,0.083,1.0
2024-10-04,4.0,171,41,41.0,9636.0,80047,0.083,1.0
2024-10-04,4.0,21042,41,41.0,9636.0,80047,0.083,1.0
2024-10-04,4.0,1355,41,41.0,9636.0,80047,0.083,1.0
2024-10-18,6.0,172286,72,42.0,9636.0,80047,0.0,2.0
2024-10-11,6.0,166654,39,42.0,9636.0,80047,0.083,1.0
2024-10-10,6.0,4136,72,42.0,9636.0,80047,0.083,1.0
2024-10-11,6.0,159216,24,42.0,9636.0,80047,0.083,1.0
2024-10-02,4.0,152252,96,41.0,9637.0,80047,1.75,21.0
2024-10-14,4.0,3044,36,41.0,9637.0,80047,5.0,60.0
2024-10-19,6.0,166066,36,42.0,9637.0,80047,120.0,1440.0
2024-10-08,4.0,122915,41,41.0,423.0,80047,0.083,1.0
2024-10-08,4.0,124189,53,41.0,423.0,80047,0.083,1.0
2024-10-03,3.0,129537,41,41.0,423.0,80047,0.083,1.0
2024-10-01,4.0,180682,41,41.0,657.0,80047,0.25,3.0
2024-10-09,4.0,173853,44,41.0,657.0,80047,0.166,2.0
2024-10-11,4.0,113784,41,41.0,657.0,80047,0.166,2.0
2024-10-04,4.0,110819,36,41.0,683.0,80047,0.0,3.0
2024-10-18,6.0,166163,39,42.0,683.0,80047,0.083,1.0
2024-10-18,6.0,170659,39,42.0,683.0,80047,0.083,1.0
2024-10-08,6.0,154323,39,42.0,683.0,80047,0.083,1.0
2024-10-09,6.0,175132,39,42.0,683.0,80047,0.083,1.0
2024-10-19,7.0,161057,81,41.0,683.0,80047,0.25,3.0
2024-10-09,3.0,173499,41,41.0,683.0,80047,0.0,1.0
2024-10-18,4.0,37655,41,41.0,693.0,80047,0.333,4.0
2024-10-18,4.0,52116,41,41.0,693.0,80047,0.5,6.0
2024-10-08,4.0,180824,39,41.0,693.0,80047,1.0,12.0
2024-10-10,4.0,116117,39,41.0,693.0,80047,0.083,1.0
2024-10-03,4.0,6566,41,41.0,693.0,80047,0.5,6.0
2024-10-03,4.0,120758,72,41.0,693.0,80047,0.083,1.0
2024-10-16,4.0,168417,93,41.0,693.0,80047,0.083,1.0
2024-10-17,4.0,1852,84,41.0,693.0,80047,0.083,1.0
2024-10-01,3.0,137358,34,41.0,693.0,80047,0.5,6.0
2024-10-18,6.0,168830,41,42.0,693.0,80047,0.333,4.0
2024-10-03,6.0,151352,34,42.0,693.0,80047,0.666,8.0
2024-10-18,4.0,168020,42,41.0,816.0,80047,0.166,1.0
2024-10-09,4.0,174391,81,41.0,816.0,80047,2.666,16.0
2024-10-08,4.0,51616,41,41.0,816.0,80047,0.166,1.0
2024-10-08,4.0,120461,41,41.0,816.0,80047,0.166,1.0
2024-10-08,4.0,120512,41,41.0,816.0,80047,0.166,1.0
2024-10-08,4.0,120997,41,41.0,816.0,80047,0.166,1.0
2024-10-08,4.0,121906,41,41.0,816.0,80047,0.166,1.0
2024-10-08,4.0,122408,41,41.0,816.0,80047,0.166,1.0
2024-10-08,4.0,123228,42,41.0,816.0,80047,0.166,1.0
2024-10-08,4.0,104182,41,41.0,816.0,80047,0.166,1.0
2024-10-16,4.0,115020,42,41.0,816.0,80047,0.166,1.0
2024-10-09,6.0,175973,39,42.0,816.0,80047,0.166,1.0
2024-10-10,6.0,164235,34,42.0,816.0,80047,0.166,1.0
2024-10-03,6.0,153903,34,42.0,816.0,80047,0.333,2.0
2024-10-11,6.0,160846,72,42.0,816.0,80047,0.166,1.0
2024-10-16,6.0,169449,39,42.0,816.0,80047,0.166,1.0
2024-10-18,7.0,163084,42,41.0,816.0,80047,0.333,2.0
2024-10-07,4.0,30164,41,41.0,2805.0,80047,0.083,1.0
2024-10-07,4.0,37308,41,41.0,2805.0,80047,0.083,1.0
2024-10-08,4.0,110264,41,41.0,2805.0,80047,0.083,1.0
